Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
ACEA_AR_agonist_80hr,ACEA,AR,prostate,22Rv1,gene target,,,,,,,,,,,,,,
ACEA_AR_agonist_AUC_viability,ACEA,NA,prostate,22Rv1,viability,,,,,,,,,,,,,,
ACEA_AR_antagonist_80hr,ACEA,AR,prostate,22Rv1,gene target,,,,,,,,,,,,,,
ACEA_AR_antagonist_AUC_viability,ACEA,NA,prostate,22Rv1,viability,,,,,,,,,,,,,,
ACEA_ER_80hr,ACEA,ESR1,breast,T47D,gene target,,,,,,,,,,,,,,tissue
ACEA_ER_AUC_viability,ACEA,NA,breast,T47D,viability,,,,,,,,,,,,,,
APR_Cell_count_1_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_count_1_24hr_up,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_count_1_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_count_1_72hr_up,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_count_2_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_count_2_24hr_up,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_count_2_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_count_2_72hr_up,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_1_24hr_dn,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_1_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_1_72hr_dn,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_1_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_2_24hr_dn,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_2_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_2_72hr_dn,APR,NA,NA,NA,none,,,,,,,,,,,,,,
APR_Cell_cycle_arrest_2_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_1hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_48hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Apoptosis_48hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_1hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_48hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_CellLoss_48hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_1hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_48hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNADamage_48hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNATexture_1hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNATexture_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNATexture_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_DNATexture_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
